Melanin_Level,Stroma_Density,Eye_Color
36.9,57.1,Green
35.6,58.5,Green
31.4,61.3,Green
51.1,47.1,Green
31.9,61.6,Green
46.1,45.8,Green
32.1,47.7,Green
25.6,42.7,Green
28.0,43.9,Green
34.8,51.9,Green
45.9,42.0,Green
41.9,48.3,Green
34.7,55.4,Green
27.1,53.1,Green
36.2,53.9,Green
37.0,69.6,Green
30.5,45.8,Green
30.6,45.6,Green
30.5,59.5,Green
44.9,45.4,Green
29.2,53.8,Green
31.1,55.1,Green
36.4,37.9,Green
45.8,64.4,Green
30.7,46.9,Green
37.0,52.7,Green
39.6,66.1,Green
33.8,43.6,Green
25.3,44.2,Green
34.8,64.4,Green
31.4,51.8,Green
34.9,59.5,Green
52.7,45.8,Green
31.6,58.4,Green
39.8,64.8,Green
39.1,47.1,Green
39.1,58.9,Green
40.7,54.1,Green
42.5,59.4,Green
44.7,55.2,Green
33.8,51.2,Green
43.4,43.5,Green
37.6,46.9,Green
35.2,60.2,Green
36.3,50.4,Green
25.5,56.0,Green
39.5,67.3,Green
32.8,51.8,Green
36.7,62.6,Green
34.3,52.2,Green
39.3,51.5,Green
31.9,51.6,Green
42.5,41.8,Green
35.9,44.4,Green
43.4,37.8,Green
31.1,53.0,Green
46.0,49.5,Green
31.1,65.0,Green
24.9,32.4,Green
38.1,46.0,Green
27.9,55.7,Green
36.7,45.5,Green
26.0,57.0,Green
39.6,49.2,Green
47.9,41.4,Green
24.3,44.5,Green
34.7,51.9,Green
33.3,52.8,Green
26.2,61.6,Green
34.4,58.9,Green
37.4,53.7,Green
39.0,53.6,Green
39.5,60.6,Green
36.4,55.7,Green
34.4,61.5,Green
30.3,64.4,Green
34.7,38.6,Green
35.9,44.6,Green
40.9,44.8,Green
31.9,34.9,Green
31.8,30.6,Green
23.9,56.1,Green
40.5,53.4,Green
28.2,49.6,Green
35.0,40.7,Green
45.5,57.0,Green
33.5,50.2,Green
36.5,33.7,Green
33.3,44.5,Green
28.0,47.8,Green
47.6,55.1,Green
31.0,54.6,Green
44.8,57.4,Green
35.4,44.8,Green
39.9,53.1,Green
41.3,55.1,Green
42.3,45.7,Green
44.2,51.6,Green
49.5,44.5,Green
47.2,51.6,Green
30.4,46.1,Green
32.8,53.4,Green
38.7,45.4,Green
34.8,67.1,Green
47.1,53.5,Green
35.3,51.0,Green
39.3,41.8,Green
33.2,36.7,Green
37.8,55.2,Green
31.6,62.6,Green
26.4,38.3,Green
36.6,58.4,Green
46.8,46.3,Green
42.6,49.7,Green
33.8,57.1,Green
39.6,37.4,Green
45.3,61.0,Green
30.6,53.2,Green
38.5,52.1,Green
31.1,44.6,Green
34.8,59.4,Green
38.8,47.0,Green
40.4,27.2,Green
43.0,36.1,Green
32.5,41.0,Green
25.9,59.3,Green
31.7,52.8,Green
34.7,53.8,Green
35.5,39.7,Green
42.0,46.0,Green
24.1,46.6,Green
45.5,56.8,Green
32.6,47.2,Green
32.7,66.6,Green
37.7,53.4,Green
42.2,51.9,Green
33.2,48.4,Green
34.5,49.7,Green
40.1,50.4,Green
40.1,49.4,Green
35.6,34.0,Green
41.4,52.8,Green
42.0,26.8,Green
49.6,48.9,Green
42.8,41.7,Green
39.3,41.6,Green
30.6,65.3,Green
33.7,51.7,Green
41.1,54.0,Green
36.1,52.9,Green
51.8,49.5,Green
36.4,58.4,Green
42.7,59.5,Green
39.5,40.9,Green
46.4,40.8,Green
37.1,44.0,Green
34.6,52.6,Green
37.2,53.4,Green
46.3,53.6,Green
33.3,57.7,Green
43.3,40.2,Green
39.2,55.6,Green
32.9,61.0,Green
33.9,51.0,Green
33.8,50.1,Green
27.3,38.5,Green
46.2,43.2,Green
28.1,32.8,Green
30.5,39.4,Green
46.5,58.1,Green
30.2,68.0,Green
41.9,47.4,Green
17.5,68.3,Green
25.3,36.8,Green
42.2,69.5,Green
44.7,54.5,Green
39.2,56.8,Green
40.3,52.2,Green
35.7,49.5,Green
29.7,47.8,Green
23.1,49.2,Green
28.1,41.2,Green
36.3,61.1,Green
41.4,37.4,Green
28.1,57.5,Green
28.1,48.2,Green
38.9,42.3,Green
35.7,39.3,Green
30.8,52.6,Green
23.8,53.5,Green
34.9,54.4,Green
36.6,60.9,Green
61.0,61.1,Hazel
61.0,69.9,Hazel
60.4,65.4,Hazel
54.4,59.0,Hazel
48.8,80.7,Hazel
50.0,58.8,Hazel
54.3,73.1,Hazel
57.6,76.2,Hazel
54.6,67.5,Hazel
53.3,84.3,Hazel
50.5,67.8,Hazel
65.1,68.7,Hazel
58.5,63.8,Hazel
60.4,63.7,Hazel
67.7,84.9,Hazel
55.5,52.7,Hazel
59.3,88.2,Hazel
53.6,79.8,Hazel
73.4,60.0,Hazel
64.6,79.7,Hazel
57.0,63.2,Hazel
55.3,55.9,Hazel
54.8,54.0,Hazel
60.3,58.1,Hazel
61.9,51.0,Hazel
62.6,72.5,Hazel
44.1,68.4,Hazel
69.8,54.1,Hazel
73.4,68.8,Hazel
54.4,64.5,Hazel
64.5,65.7,Hazel
64.3,56.7,Hazel
61.4,52.3,Hazel
59.1,56.9,Hazel
54.1,76.1,Hazel
68.7,70.5,Hazel
51.3,62.2,Hazel
69.7,66.3,Hazel
78.6,68.5,Hazel
61.5,62.2,Hazel
61.1,63.6,Hazel
65.7,73.6,Hazel
53.7,53.0,Hazel
45.3,69.6,Hazel
51.2,45.6,Hazel
63.1,87.4,Hazel
60.0,72.5,Hazel
60.7,64.1,Hazel
67.4,62.4,Hazel
62.1,67.9,Hazel
54.7,73.9,Hazel
58.6,58.2,Hazel
64.3,56.9,Hazel
60.2,64.9,Hazel
68.7,69.3,Hazel
59.8,72.4,Hazel
71.1,70.0,Hazel
60.1,53.2,Hazel
51.5,62.3,Hazel
55.1,63.3,Hazel
60.5,69.8,Hazel
59.4,69.4,Hazel
60.5,47.2,Hazel
52.5,63.7,Hazel
50.3,70.4,Hazel
72.2,76.0,Hazel
58.3,78.4,Hazel
61.2,62.0,Hazel
55.1,62.3,Hazel
56.9,66.5,Hazel
61.3,65.0,Hazel
63.5,75.7,Hazel
67.6,51.6,Hazel
39.6,73.4,Hazel
49.1,63.0,Hazel
50.6,48.8,Hazel
64.3,71.8,Hazel
55.4,41.7,Hazel
55.6,68.5,Hazel
48.2,66.7,Hazel
59.9,70.2,Hazel
61.0,56.2,Hazel
69.6,63.6,Hazel
59.8,56.6,Hazel
56.5,57.0,Hazel
58.6,80.4,Hazel
49.0,50.5,Hazel
71.8,63.1,Hazel
54.6,74.4,Hazel
55.2,81.4,Hazel
65.4,60.6,Hazel
77.3,59.5,Hazel
65.9,67.7,Hazel
70.4,79.1,Hazel
60.3,58.2,Hazel
63.7,58.9,Hazel
76.1,66.2,Hazel
57.1,66.7,Hazel
49.2,56.3,Hazel
69.6,59.1,Hazel
51.6,69.8,Hazel
69.5,71.5,Hazel
68.0,58.2,Hazel
48.6,78.5,Hazel
57.4,62.7,Hazel
70.6,70.0,Hazel
63.6,84.5,Hazel
54.9,73.4,Hazel
60.5,67.4,Hazel
72.2,69.6,Hazel
64.3,74.7,Hazel
57.1,57.4,Hazel
51.6,47.3,Hazel
76.4,55.1,Hazel
58.2,62.5,Hazel
62.5,72.3,Hazel
66.9,59.8,Hazel
58.7,67.5,Hazel
58.0,79.5,Hazel
63.9,71.6,Hazel
65.3,75.6,Hazel
61.4,53.3,Hazel
63.2,59.1,Hazel
55.8,70.3,Hazel
69.9,65.2,Hazel
62.5,80.3,Hazel
61.9,88.4,Hazel
64.5,49.2,Hazel
66.0,68.4,Hazel
70.3,71.1,Hazel
58.9,54.0,Hazel
58.3,57.3,Hazel
55.4,70.3,Hazel
73.4,68.6,Hazel
50.4,69.0,Hazel
69.6,59.5,Hazel
58.9,65.1,Hazel
53.7,70.8,Hazel
59.0,68.8,Hazel
52.9,61.1,Hazel
65.8,61.6,Hazel
73.8,61.4,Hazel
61.8,73.4,Hazel
48.7,49.2,Hazel
47.8,76.4,Hazel
55.6,88.0,Hazel
55.5,66.7,Hazel
72.3,83.1,Hazel
76.5,75.9,Hazel
68.2,70.3,Hazel
66.2,60.0,Hazel
53.5,65.0,Hazel
58.6,60.9,Hazel
65.6,73.6,Hazel
60.7,78.3,Hazel
50.9,63.3,Hazel
54.3,48.2,Hazel
59.3,63.9,Hazel
72.1,70.7,Hazel
51.8,81.7,Hazel
69.8,70.2,Hazel
58.2,56.4,Hazel
57.0,74.8,Hazel
75.1,78.9,Hazel
56.1,54.9,Hazel
61.1,49.1,Hazel
62.6,63.7,Hazel
56.3,50.6,Hazel
64.1,60.2,Hazel
50.6,39.1,Hazel
59.8,81.0,Hazel
73.3,60.9,Hazel
55.2,69.2,Hazel
52.0,67.7,Hazel
66.1,76.0,Hazel
59.2,63.2,Hazel
53.0,57.6,Hazel
58.2,68.3,Hazel
67.3,57.8,Hazel
71.9,62.6,Hazel
59.8,58.3,Hazel
40.6,73.0,Hazel
65.9,62.5,Hazel
60.5,69.6,Hazel
47.5,60.2,Hazel
66.4,53.7,Hazel
62.3,52.8,Hazel
63.7,64.7,Hazel
47.1,75.5,Hazel
54.1,57.7,Hazel
61.6,75.3,Hazel
51.9,65.6,Hazel
63.4,71.2,Hazel
61.4,61.7,Hazel
53.4,65.8,Hazel
51.4,38.7,Hazel
63.5,73.1,Hazel
41.1,55.9,Hazel
65.0,83.5,Hazel
60.2,58.4,Hazel
58.5,77.4,Hazel
54.8,57.8,Hazel
56.1,56.4,Hazel
61.0,79.6,Hazel
62.6,62.7,Hazel
57.7,50.9,Hazel
67.1,64.3,Hazel
58.6,93.7,Hazel
62.4,58.2,Hazel
56.6,75.3,Hazel
60.9,52.1,Hazel
67.4,59.0,Hazel
75.0,74.7,Hazel
56.4,76.5,Hazel
60.5,72.7,Hazel
63.9,57.4,Hazel
54.9,74.3,Hazel
57.3,61.4,Hazel
52.4,68.8,Hazel
76.5,55.4,Hazel
60.2,77.7,Hazel
59.4,69.1,Hazel
51.5,68.9,Hazel
58.5,73.9,Hazel
69.5,88.3,Hazel
64.6,67.9,Hazel
61.6,61.8,Hazel
62.7,62.3,Hazel
61.3,76.9,Hazel
51.9,75.3,Hazel
70.5,63.9,Hazel
43.0,59.5,Hazel
70.4,64.8,Hazel
52.0,60.5,Hazel
66.7,69.9,Hazel
58.1,61.7,Hazel
56.9,56.7,Hazel
72.9,62.1,Hazel
69.7,78.7,Hazel
68.0,61.1,Hazel
63.2,64.8,Hazel
52.8,67.9,Hazel
50.6,75.7,Hazel
56.3,66.8,Hazel
62.3,62.7,Hazel
64.7,60.7,Hazel
67.0,52.9,Hazel
61.0,82.5,Hazel
52.0,58.9,Hazel
64.1,66.6,Hazel
62.8,69.4,Hazel
65.1,75.0,Hazel
63.3,62.8,Hazel
65.4,82.1,Hazel
58.9,56.2,Hazel
68.9,63.9,Hazel
42.6,72.6,Hazel
55.7,64.2,Hazel
62.7,66.7,Hazel
65.7,61.1,Hazel
64.1,62.7,Hazel
65.9,70.5,Hazel
52.5,74.8,Hazel
55.7,72.3,Hazel
62.9,81.5,Hazel
58.2,61.9,Hazel
59.8,62.3,Hazel
66.4,50.5,Hazel
51.6,55.4,Hazel
67.6,80.4,Hazel
59.2,63.5,Hazel
60.6,75.5,Hazel
52.6,67.1,Hazel
67.8,69.5,Hazel
61.5,74.0,Hazel
38.4,71.1,Hazel
54.8,48.5,Hazel
64.1,77.4,Hazel
58.9,73.6,Hazel
72.9,76.8,Hazel
73.1,71.7,Hazel
60.6,50.6,Hazel
58.0,57.4,Hazel
77.4,63.4,Hazel
61.0,70.0,Hazel
60.3,80.3,Hazel
55.0,66.8,Hazel
54.1,53.1,Hazel
55.1,64.7,Hazel
56.6,58.8,Hazel
48.7,64.3,Hazel
48.0,71.8,Hazel
60.7,51.9,Hazel
57.5,58.2,Hazel
62.6,77.1,Hazel
45.0,66.0,Hazel
58.7,71.0,Hazel
61.7,58.2,Hazel
57.4,57.8,Hazel
68.6,65.2,Hazel
96.4,79.6,Brown
80.7,69.4,Brown
74.2,68.9,Brown
86.6,83.6,Brown
75.5,86.3,Brown
82.1,81.0,Brown
94.7,86.3,Brown
83.4,73.8,Brown
72.1,75.0,Brown
83.7,73.1,Brown
84.2,80.5,Brown
83.7,75.4,Brown
86.0,83.1,Brown
78.5,89.9,Brown
84.4,80.1,Brown
89.2,81.6,Brown
90.7,82.0,Brown
81.3,82.5,Brown
78.1,80.8,Brown
84.8,78.5,Brown
84.2,66.8,Brown
81.7,80.6,Brown
86.0,72.8,Brown
92.6,73.9,Brown
90.8,83.0,Brown
81.1,92.4,Brown
77.8,86.4,Brown
91.0,75.3,Brown
93.4,78.2,Brown
86.7,81.8,Brown
84.2,85.7,Brown
89.8,67.8,Brown
92.8,68.4,Brown
91.2,87.9,Brown
78.5,77.1,Brown
78.4,78.5,Brown
83.2,85.5,Brown
92.9,89.8,Brown
81.6,78.5,Brown
74.9,74.4,Brown
90.8,91.3,Brown
77.6,75.9,Brown
84.8,82.0,Brown
80.1,83.0,Brown
82.2,79.9,Brown
88.3,80.0,Brown
82.4,79.2,Brown
84.5,77.4,Brown
83.4,91.2,Brown
88.4,77.9,Brown
89.2,77.7,Brown
92.0,82.6,Brown
84.4,83.1,Brown
75.6,72.1,Brown
77.8,81.0,Brown
95.4,95.6,Brown
88.8,83.5,Brown
74.2,76.2,Brown
80.3,75.7,Brown
84.0,76.7,Brown
73.1,85.2,Brown
78.6,81.7,Brown
97.4,73.6,Brown
69.8,78.0,Brown
91.6,93.7,Brown
77.6,83.5,Brown
82.2,79.3,Brown
100.0,69.5,Brown
86.5,83.3,Brown
91.5,80.7,Brown
86.8,77.3,Brown
86.6,77.6,Brown
88.7,77.4,Brown
87.3,79.8,Brown
91.8,79.6,Brown
74.4,88.8,Brown
79.6,75.4,Brown
81.4,89.6,Brown
72.2,100.0,Brown
91.3,81.6,Brown
84.7,82.0,Brown
88.1,84.5,Brown
88.3,80.6,Brown
83.8,78.9,Brown
83.8,87.9,Brown
88.6,59.4,Brown
88.9,81.4,Brown
84.9,77.3,Brown
91.7,86.6,Brown
80.4,82.8,Brown
79.2,70.3,Brown
81.2,86.0,Brown
90.7,83.6,Brown
89.4,83.6,Brown
81.2,83.0,Brown
89.8,85.3,Brown
92.1,85.0,Brown
87.1,87.5,Brown
84.8,73.8,Brown
84.0,74.8,Brown
80.9,79.0,Brown
80.2,77.8,Brown
73.6,81.5,Brown
85.0,74.3,Brown
89.0,86.6,Brown
75.4,74.7,Brown
80.4,73.4,Brown
90.0,78.6,Brown
83.4,66.0,Brown
88.8,71.3,Brown
85.4,81.9,Brown
93.2,70.8,Brown
66.9,81.3,Brown
95.8,88.7,Brown
86.3,76.6,Brown
89.8,73.2,Brown
87.9,83.5,Brown
91.4,99.3,Brown
87.4,76.4,Brown
84.8,67.6,Brown
80.8,77.1,Brown
81.9,81.1,Brown
80.1,87.8,Brown
85.0,79.9,Brown
83.0,81.1,Brown
90.0,73.9,Brown
81.1,77.9,Brown
76.9,74.3,Brown
82.1,86.1,Brown
86.6,81.4,Brown
90.1,79.0,Brown
87.3,79.3,Brown
86.6,75.9,Brown
70.4,79.1,Brown
93.5,86.5,Brown
90.8,88.7,Brown
85.5,81.4,Brown
81.3,77.8,Brown
88.7,88.4,Brown
84.2,76.8,Brown
85.0,84.2,Brown
76.3,63.9,Brown
81.7,71.5,Brown
82.0,79.0,Brown
82.3,90.2,Brown
87.0,82.1,Brown
88.7,72.0,Brown
91.2,79.5,Brown
89.0,72.5,Brown
75.7,85.7,Brown
87.3,73.7,Brown
79.8,87.9,Brown
77.9,91.5,Brown
79.6,84.5,Brown
83.0,84.2,Brown
81.7,78.9,Brown
85.2,73.0,Brown
89.4,76.4,Brown
83.6,73.0,Brown
69.6,78.7,Brown
99.5,85.5,Brown
84.9,78.2,Brown
85.1,83.8,Brown
77.9,87.8,Brown
89.3,85.0,Brown
87.6,80.1,Brown
89.0,84.1,Brown
82.9,76.0,Brown
85.6,90.8,Brown
77.6,69.7,Brown
86.0,80.4,Brown
86.0,81.7,Brown
83.7,90.4,Brown
75.4,74.2,Brown
84.4,68.5,Brown
83.9,91.6,Brown
85.1,81.6,Brown
77.4,75.7,Brown
82.7,77.8,Brown
92.7,83.9,Brown
78.3,81.7,Brown
88.0,88.0,Brown
94.5,72.9,Brown
80.1,71.2,Brown
83.6,83.3,Brown
90.9,79.5,Brown
83.1,81.1,Brown
80.0,94.6,Brown
75.4,81.3,Brown
97.1,80.0,Brown
83.9,77.5,Brown
83.9,89.6,Brown
71.7,90.7,Brown
76.5,78.1,Brown
82.4,84.1,Brown
75.4,83.2,Brown
97.1,70.5,Brown
86.1,75.4,Brown
87.6,80.1,Brown
81.2,83.4,Brown
95.8,78.7,Brown
89.3,70.9,Brown
79.3,83.3,Brown
93.9,82.5,Brown
83.1,80.0,Brown
77.5,84.2,Brown
90.3,76.8,Brown
82.2,81.9,Brown
82.4,79.5,Brown
97.6,78.3,Brown
82.8,75.5,Brown
89.5,78.7,Brown
81.1,89.2,Brown
93.5,75.8,Brown
73.8,87.1,Brown
80.9,85.5,Brown
73.2,86.2,Brown
77.7,85.1,Brown
85.1,73.3,Brown
82.6,84.8,Brown
85.6,84.1,Brown
96.9,69.1,Brown
94.7,80.7,Brown
79.6,70.7,Brown
83.9,86.5,Brown
84.2,90.6,Brown
76.3,79.9,Brown
77.5,82.5,Brown
90.3,77.1,Brown
69.4,81.4,Brown
87.6,82.8,Brown
92.4,72.5,Brown
89.1,88.3,Brown
74.3,82.2,Brown
82.0,79.4,Brown
87.1,76.6,Brown
80.9,80.2,Brown
78.5,72.4,Brown
89.1,72.0,Brown
89.0,83.2,Brown
74.6,75.3,Brown
92.2,73.1,Brown
82.2,83.2,Brown
89.7,78.2,Brown
81.4,90.0,Brown
95.4,86.9,Brown
85.5,74.3,Brown
80.0,83.7,Brown
87.5,89.8,Brown
88.9,69.5,Brown
91.3,73.0,Brown
82.7,81.8,Brown
97.0,100.0,Brown
88.6,78.7,Brown
88.2,86.2,Brown
83.1,92.6,Brown
86.4,83.5,Brown
89.0,83.0,Brown
90.0,75.7,Brown
81.7,72.3,Brown
87.6,85.5,Brown
87.7,91.7,Brown
