Age,Tenure_Months,Monthly_Spend_USD,Support_Calls,Satisfaction_Score,Churn
31,59,64.66,2,2,0
36,7,98.55,3,2,1
41,28,109.44,4,4,1
50,9,77.55,3,4,0
22,28,118.18,2,5,0
56,6,138.92,1,5,0
18,29,111.46,1,4,0
33,58,146.51,0,5,0
40,17,87.71,1,1,0
37,16,160.14,1,1,1
28,23,124.87,2,5,0
32,31,181.81,2,4,0
30,3,216.57,0,1,1
29,21,101.19,1,2,1
43,26,102.84,2,4,0
38,36,110.15,0,3,0
28,42,143.83,1,3,0
43,37,173.04,1,4,0
38,53,93.89,0,5,0
43,22,135.25,2,1,1
41,42,114.56,2,1,0
26,12,144.72,1,4,0
29,42,180.38,1,2,0
42,13,110.39,5,5,1
41,11,53.21,4,2,1
34,54,149.76,2,4,1
36,16,86.69,0,4,0
47,8,114.28,1,2,0
29,40,151.48,1,3,0
40,59,131.9,2,4,0
32,57,115.93,0,5,0
32,40,96.96,0,2,0
45,45,20.0,3,3,0
43,59,147.93,1,2,0
43,2,109.88,1,3,0
48,30,180.53,0,3,0
35,30,135.92,1,5,0
41,12,98.35,2,4,0
31,10,162.67,0,3,0
38,44,166.05,1,4,0
33,11,111.24,2,5,0
35,15,167.75,1,4,0
40,16,97.79,2,1,1
26,17,126.39,0,3,0
55,26,142.86,2,5,0
24,2,151.39,3,2,1
22,50,144.86,2,5,0
46,12,106.69,3,3,1
42,51,163.75,3,5,0
41,26,115.02,3,2,1
41,23,97.24,2,1,1
34,18,97.83,1,3,0
26,32,197.6,0,3,0
35,49,90.32,0,5,0
28,38,171.67,1,4,0
44,57,74.58,0,4,0
33,47,139.52,2,2,1
26,3,131.88,3,1,1
31,38,184.85,2,1,1
39,3,93.82,2,5,0
29,30,82.77,1,5,0
26,1,115.34,0,4,0
37,30,186.59,1,1,1
37,45,84.63,2,1,1
29,32,20.0,3,1,1
30,28,122.39,1,2,1
37,21,157.98,1,2,1
20,58,79.45,1,5,0
20,46,153.92,1,4,0
27,13,78.56,2,3,1
32,27,114.14,0,4,0
38,36,150.11,3,2,0
49,7,72.5,2,2,1
43,22,127.26,2,5,0
33,10,168.6,1,3,1
34,39,138.96,2,1,1
24,53,91.17,3,3,0
34,15,180.75,1,3,0
32,15,146.34,3,3,1
38,4,45.58,0,5,0
26,32,154.57,3,2,1
40,23,97.15,3,1,1
50,55,127.86,2,3,0
33,6,160.32,1,1,0
39,24,98.02,1,3,0
41,20,54.18,2,2,1
30,58,180.22,1,1,0
37,37,166.58,3,4,1
35,20,116.51,4,2,1
35,12,154.14,3,1,1
27,33,105.22,1,3,0
35,28,123.88,1,3,1
39,8,114.23,1,2,1
49,1,106.84,1,2,1
44,37,134.37,1,3,0
56,22,71.67,1,1,1
27,6,109.94,1,4,0
43,21,132.58,1,5,0
36,32,193.52,4,2,1
56,35,73.3,0,3,0
26,15,140.82,3,1,1
26,5,145.21,1,2,1
29,56,44.93,2,1,0
18,46,136.42,2,2,1
29,50,155.21,1,3,0
27,48,143.55,1,1,1
36,6,116.64,3,3,1
38,25,133.33,1,1,0
53,56,126.79,1,2,0
44,46,52.42,1,5,0
29,59,127.73,0,5,0
26,56,105.32,0,4,0
39,40,91.81,1,4,0
21,29,219.4,2,3,1
53,7,170.1,1,1,0
46,40,73.99,2,4,0
30,13,133.87,1,2,1
18,38,178.32,0,5,0
48,18,60.15,1,1,1
33,2,123.08,3,5,0
47,8,124.96,2,1,1
19,11,69.02,1,4,0
29,33,135.18,2,4,1
35,54,164.65,0,3,0
35,38,180.32,1,1,1
30,48,110.03,0,2,0
41,27,220.07,1,4,0
24,20,37.68,1,3,1
33,12,134.25,2,4,0
36,43,63.51,0,5,0
40,31,123.61,2,4,0
42,27,99.12,0,1,1
23,32,140.28,2,3,0
19,10,114.92,1,1,1
47,3,86.96,1,2,0
38,45,89.59,1,2,0
27,27,197.3,1,4,0
50,35,137.74,0,3,0
36,31,51.91,1,3,0
46,15,142.03,2,3,1
35,16,112.21,0,3,0
55,13,120.18,1,4,0
52,49,152.8,1,1,1
32,35,167.33,1,4,0
44,52,85.65,0,1,0
41,11,118.81,0,5,0
48,59,98.16,0,5,0
25,21,143.87,2,1,1
41,51,110.71,0,4,0
45,54,121.17,3,2,1
18,11,109.19,3,4,1
23,30,115.76,1,2,0
18,48,188.19,1,4,0
32,53,215.63,2,3,1
42,35,135.08,2,3,1
50,22,116.0,3,5,0
35,38,56.17,3,5,0
51,31,89.58,2,1,1
21,14,114.93,3,2,1
18,24,91.4,0,3,0
34,50,95.6,1,4,0
38,49,183.02,0,1,0
34,32,121.15,1,4,0
18,36,124.73,1,3,0
34,32,93.03,2,3,0
21,55,167.1,0,3,0
41,15,111.5,2,3,0
38,43,99.17,1,4,0
25,58,56.77,2,1,1
29,35,117.56,0,3,0
24,3,97.92,0,5,0
34,16,187.38,0,1,1
44,5,193.76,1,5,0
25,21,70.59,1,4,0
40,10,75.11,2,3,0
29,19,108.95,1,1,1
27,25,87.36,1,3,0
33,4,128.7,3,3,1
24,29,106.94,2,1,0
29,19,131.22,1,3,0
23,43,160.64,1,3,0
54,2,77.43,2,2,0
35,10,159.81,0,2,0
28,43,90.85,2,1,1
37,25,205.94,1,1,0
33,20,184.84,2,3,0
32,48,115.48,2,5,0
41,19,81.46,1,1,1
42,23,73.81,2,3,0
29,24,154.95,0,5,0
29,11,118.78,2,2,0
32,46,157.07,0,1,0
18,34,208.17,1,3,1
19,55,89.18,2,2,0
48,28,70.79,4,4,0
51,5,127.7,1,2,0
32,59,165.79,0,3,0
40,5,82.38,0,5,0
38,51,121.38,2,4,0
65,21,174.8,3,4,0
46,12,54.68,1,4,0
33,50,129.41,0,1,0
25,4,98.4,1,3,1
18,54,124.97,0,4,0
37,49,148.39,2,2,1
27,42,128.83,1,5,0
20,20,79.59,1,3,0
28,38,99.95,2,2,0
24,25,177.06,1,1,1
51,14,133.16,3,4,1
43,11,153.61,2,2,1
34,32,130.01,1,3,0
49,11,152.36,3,2,1
35,18,104.15,0,1,1
26,27,89.3,2,5,0
50,55,150.55,2,4,1
40,54,165.09,0,3,0
24,18,83.43,0,4,0
33,56,96.96,2,4,0
26,23,113.47,3,4,0
21,11,184.79,2,2,1
44,21,142.53,2,2,1
54,44,67.04,0,5,0
21,5,116.28,1,1,0
40,23,110.16,1,3,1
28,41,73.07,0,2,1
30,59,115.81,1,4,0
29,25,108.4,0,1,1
26,41,105.53,2,3,0
35,54,103.7,2,3,0
26,10,178.86,2,3,1
37,22,105.45,0,3,0
34,19,121.99,2,5,1
32,1,117.65,1,3,0
25,7,99.8,0,1,1
29,4,123.18,1,2,1
42,1,122.61,0,1,0
40,15,123.19,4,4,1
25,40,85.63,3,5,0
35,12,111.76,5,5,1
42,22,150.41,0,4,1
18,22,112.81,2,1,1
40,50,126.47,2,1,1
28,47,126.68,0,4,0
40,17,136.7,2,3,1
27,29,142.35,2,3,1
18,46,113.03,0,2,0
18,14,83.55,2,1,1
35,50,71.25,0,1,0
37,20,160.71,3,4,1
25,50,150.81,2,4,0
41,48,145.97,1,3,0
18,33,152.45,3,1,1
34,55,113.54,2,1,1
22,59,95.0,1,5,0
28,43,80.78,1,2,0
35,15,76.43,1,2,1
26,12,168.49,1,3,1
31,40,100.27,3,1,1
45,54,162.19,2,5,0
29,20,112.52,2,1,1
43,30,92.95,2,4,0
23,38,76.23,0,3,0
40,3,96.47,1,2,1
49,28,176.73,0,1,0
18,56,76.63,2,3,1
27,26,204.67,2,2,1
40,30,86.38,3,1,1
32,13,150.0,0,5,0
38,13,114.19,3,3,1
28,2,107.18,1,1,1
35,37,69.14,0,2,0
33,49,116.06,1,2,0
46,38,73.67,1,5,0
37,2,52.74,0,3,0
38,36,124.78,1,3,1
30,54,94.58,4,1,1
30,26,187.37,1,2,1
30,11,160.0,1,2,1
38,8,187.9,2,5,0
30,44,92.76,1,5,0
37,40,125.45,0,3,0
55,43,20.0,1,2,0
43,22,108.73,0,1,1
31,20,123.94,1,4,0
47,8,126.16,1,1,0
30,29,118.31,2,5,0
18,40,122.66,1,1,0
24,26,20.0,1,2,0
18,30,130.25,2,3,1
31,17,139.34,2,4,0
35,20,173.52,2,3,1
51,52,134.75,2,4,0
38,55,114.77,0,4,0
32,16,164.2,2,2,1
43,46,25.71,1,2,1
18,43,99.4,2,5,0
37,7,89.37,3,5,0
42,16,118.62,1,4,0
20,45,32.05,2,5,0
46,59,172.79,0,2,0
38,47,110.01,0,5,0
30,56,132.75,4,4,0
41,48,128.92,1,3,0
57,27,170.5,1,1,0
36,53,45.52,0,5,0
37,23,124.49,3,2,1
30,24,165.85,2,3,0
26,9,116.08,2,2,1
43,35,81.95,1,5,0
26,51,95.84,2,4,0
35,20,104.28,0,1,1
30,37,91.16,2,1,1
39,42,113.89,2,3,0
38,17,180.33,2,1,1
45,47,96.11,2,4,0
29,31,100.49,2,2,0
32,55,138.39,2,4,0
25,57,113.01,0,3,0
30,8,66.83,1,3,0
38,15,117.55,1,1,1
42,31,116.04,3,4,0
25,53,159.03,1,2,0
43,30,81.11,5,4,1
48,46,159.29,3,2,1
39,20,116.09,3,2,1
53,39,75.68,2,4,0
27,53,67.65,1,5,0
22,55,197.38,3,4,0
18,12,113.6,2,2,1
49,49,157.46,0,3,0
41,17,51.68,3,3,0
34,42,225.51,1,1,1
37,30,155.73,1,3,0
23,29,109.78,2,5,0
59,19,107.75,1,2,0
36,46,149.38,0,4,0
36,11,147.09,3,4,0
42,34,127.3,3,5,0
39,50,120.44,3,3,0
37,7,142.44,1,2,1
27,44,50.33,2,3,0
39,58,105.15,0,1,0
53,34,54.13,1,3,0
48,59,144.18,1,1,0
50,20,92.97,1,4,0
29,50,57.14,1,2,0
25,38,88.25,0,1,0
33,24,125.97,4,3,1
35,10,111.79,3,3,0
45,32,73.07,3,4,1
18,52,51.81,5,5,0
50,15,122.96,3,5,0
33,37,96.77,3,3,1
30,20,109.68,2,5,0
24,3,113.61,1,2,1
18,37,137.2,1,5,0
43,57,153.88,2,2,0
35,40,125.86,0,3,0
22,8,107.18,2,3,1
22,40,120.99,4,3,0
31,44,106.43,2,4,0
51,56,54.3,3,5,0
32,23,163.68,0,1,0
19,40,156.14,0,1,1
32,11,199.53,2,3,0
32,46,211.22,3,5,0
18,8,72.96,2,2,1
34,29,106.58,0,1,0
32,30,220.46,1,3,0
41,56,118.38,1,1,0
53,10,129.77,2,1,1
46,39,59.15,1,1,0
32,28,126.01,1,3,0
23,49,197.28,2,3,0
60,36,171.47,2,4,1
35,13,95.6,1,4,0
35,32,104.15,0,4,0
34,36,74.76,1,1,1
36,37,85.95,2,5,0
33,26,43.59,2,3,1
29,22,116.61,1,4,0
29,4,180.4,0,5,0
34,31,134.22,3,4,1
29,18,174.65,4,4,0
27,38,162.93,0,5,0
36,24,98.13,2,4,0
32,56,89.62,6,1,1
50,23,91.15,1,1,1
18,22,51.32,3,1,1
45,2,121.29,1,2,1
47,31,20.0,0,4,0
18,55,143.66,1,2,0
31,11,122.88,2,3,0
31,28,138.86,1,5,0
20,46,162.28,2,3,0
27,32,127.95,1,2,1
23,5,185.26,3,1,1
52,38,144.88,2,4,0
44,10,89.71,2,4,1
47,40,110.49,3,1,1
42,46,29.55,0,4,0
23,24,83.91,2,5,0
29,35,104.76,2,5,0
39,44,141.85,2,5,1
22,48,89.99,5,3,1
42,23,70.15,2,1,0
32,17,44.5,0,5,0
31,1,96.14,2,2,1
42,55,198.03,4,5,0
39,31,130.84,0,3,0
31,31,157.58,1,2,1
46,42,84.0,3,1,1
24,57,57.06,1,1,1
41,55,71.16,0,5,0
40,42,116.11,1,2,0
31,53,40.23,1,2,1
38,56,79.74,2,5,0
22,34,96.55,0,5,0
44,9,67.16,1,4,0
33,22,35.05,1,4,0
29,13,131.59,2,5,0
45,25,121.83,4,3,0
27,48,151.16,2,4,0
20,18,75.58,0,5,0
19,51,150.4,2,2,1
41,12,181.17,1,4,0
22,40,130.49,1,3,1
52,17,95.6,0,1,0
18,15,125.8,1,2,0
51,42,93.69,1,3,0
37,15,87.03,1,3,0
34,15,147.33,2,3,0
29,55,114.44,1,2,0
38,39,168.2,1,3,0
34,13,102.3,3,1,1
46,17,106.35,2,4,0
36,32,97.34,1,2,1
36,9,75.19,4,3,1
31,40,152.58,1,5,0
34,20,207.43,1,4,0
38,26,104.71,1,2,0
18,27,92.78,0,5,0
21,21,90.19,1,5,0
42,18,92.81,0,3,0
36,13,185.99,1,2,1
33,16,91.26,1,3,1
35,9,96.59,3,1,1
38,12,70.39,2,5,0
29,44,131.75,0,1,0
27,38,117.31,1,3,0
36,19,74.51,2,4,1
25,7,84.29,2,5,0
39,57,181.32,6,4,1
18,35,121.31,1,2,0
45,48,124.07,2,5,0
39,18,124.23,4,1,1
37,16,175.79,0,4,0
44,55,78.19,0,2,0
51,39,104.14,1,5,0
45,4,113.24,3,2,1
18,59,51.15,0,1,0
22,25,83.35,0,5,0
28,32,161.87,1,2,0
35,40,150.41,0,3,0
40,13,157.48,1,5,0
27,45,96.44,2,5,0
36,17,101.37,2,5,0
27,49,48.48,2,5,0
28,37,157.28,2,3,1
20,6,163.87,0,1,1
25,19,163.36,1,3,0
21,13,184.16,0,3,0
25,57,136.88,2,2,1
45,26,182.28,2,4,1
25,14,111.98,2,4,1
61,31,49.32,1,2,1
39,54,154.43,3,3,0
36,4,47.84,2,2,0
26,39,126.81,2,5,0
42,8,158.21,3,2,1
29,25,132.97,2,2,1
36,13,211.13,0,5,0
60,32,41.36,1,4,0
34,59,116.69,1,5,0
46,38,120.7,1,1,0
27,38,66.24,0,2,0
34,56,73.85,0,2,0
52,28,86.19,0,4,0
28,53,76.01,2,3,0
53,30,115.68,5,5,1
42,3,95.88,2,3,1
29,28,132.72,1,1,0
41,3,145.98,2,5,0
44,45,143.27,1,1,1
41,54,103.59,3,1,1
19,34,131.38,0,1,1
27,16,161.41,0,5,0
32,22,137.82,0,5,0
34,32,194.36,1,4,0
41,38,159.29,2,2,0
36,8,188.74,0,3,1
21,55,20.31,1,3,0
38,8,123.87,0,1,1
41,57,107.04,0,5,0
40,6,115.0,2,5,0
45,14,87.8,1,1,1
43,32,135.85,2,2,1
39,35,47.67,2,3,0
34,10,136.14,1,4,0
18,3,89.13,1,2,0
39,59,99.98,1,5,0
37,12,137.54,1,1,1
37,49,123.15,0,3,0
22,59,162.16,3,1,1
24,31,81.22,0,5,0
45,29,116.77,2,1,1
34,5,155.55,1,3,0
41,52,134.45,5,1,1
35,25,137.02,1,3,0
35,41,164.32,2,1,1
44,31,103.75,1,1,0
29,21,95.33,1,3,0
35,58,143.04,1,1,0
30,20,114.02,1,2,1
30,39,164.89,1,4,0
31,22,134.79,0,2,0
37,4,95.07,1,4,0
30,13,133.54,1,2,0
47,45,83.89,2,4,0
26,42,157.88,0,1,1
33,50,64.11,2,3,1
30,49,168.88,2,3,1
49,20,132.84,1,5,0
36,52,113.42,1,4,0
45,13,150.53,3,5,0
20,17,140.45,3,5,0
37,54,173.22,1,4,0
43,36,172.84,2,3,1
35,33,134.09,0,4,0
45,1,85.13,3,1,1
29,15,98.34,1,5,0
49,13,117.13,2,5,0
57,17,163.27,0,4,0
31,24,101.74,1,5,0
30,58,105.08,1,3,0
49,8,193.93,2,5,0
50,50,115.83,1,4,0
29,27,94.61,1,3,0
30,45,151.07,3,3,0
32,23,117.75,2,5,0
21,46,64.42,1,4,0
25,8,161.64,3,5,0
24,8,90.12,2,1,1
27,59,121.74,0,1,0
34,26,117.27,0,3,0
37,47,129.2,1,5,0
50,59,32.36,1,1,1
25,13,106.6,1,2,1
44,39,164.99,1,1,1
32,37,170.62,1,5,0
34,49,80.35,1,5,0
41,28,156.82,3,1,1
23,25,89.54,1,5,0
38,16,105.02,2,5,0
36,55,107.12,0,2,0
39,2,124.35,0,3,1
37,54,160.05,0,5,0
59,18,130.58,3,4,0
28,17,114.95,2,3,1
29,30,158.69,1,3,0
28,39,87.89,0,4,0
29,13,116.91,0,1,0
28,32,159.83,2,2,1
46,50,141.17,2,5,0
49,29,101.35,0,1,1
29,46,59.48,2,4,0
26,30,132.43,2,2,0
39,18,56.85,1,2,1
29,13,111.5,1,2,0
41,43,167.16,2,4,0
37,21,143.87,3,1,1
19,30,39.05,3,5,0
50,21,128.02,2,2,0
52,48,107.23,2,2,0
28,55,69.05,2,1,0
31,17,133.4,2,2,0
37,40,100.33,4,2,1
38,19,100.58,0,4,0
41,52,124.96,1,3,0
55,15,94.96,1,1,1
33,9,123.83,0,1,1
27,52,96.27,1,1,1
21,10,98.46,3,4,1
27,44,159.72,2,4,0
34,31,163.79,0,5,0
52,53,51.65,3,4,0
29,23,149.88,3,1,1
37,52,175.94,1,5,0
34,30,182.3,4,3,0
46,33,140.82,1,2,0
60,57,77.7,3,2,0
29,52,145.2,2,5,0
30,9,85.23,3,3,1
45,54,106.28,1,2,0
41,47,135.32,1,5,0
53,1,87.81,0,4,0
40,44,74.14,1,1,0
31,35,138.63,4,3,1
40,11,194.69,1,2,0
46,34,169.73,2,1,1
43,16,148.29,2,5,0
40,9,159.17,1,2,1
45,32,145.51,3,1,1
46,15,138.0,1,4,1
48,12,155.94,0,3,0
41,33,65.27,5,5,1
33,45,127.98,1,2,1
36,14,116.76,1,4,0
47,57,123.16,1,3,0
26,57,101.55,1,3,0
38,8,140.82,1,4,0
31,8,87.28,0,2,1
35,27,98.65,2,3,1
47,12,93.84,2,5,1
36,1,154.56,1,1,1
35,43,119.53,3,5,0
21,40,101.57,1,3,0
42,42,105.06,0,1,0
41,51,120.16,3,4,0
56,11,184.89,3,1,1
31,39,70.54,0,1,0
37,43,147.02,1,1,1
37,31,138.87,2,3,0
50,17,84.68,1,2,1
34,33,178.67,0,3,0
37,32,141.57,0,2,0
41,58,99.69,2,4,0
36,29,45.62,3,4,0
30,21,129.17,0,4,0
36,21,118.21,0,4,0
45,40,78.77,1,4,0
24,23,78.26,3,5,0
36,56,154.74,0,3,0
27,6,41.77,5,2,1
46,22,132.57,1,4,0
19,50,112.5,1,5,0
29,38,139.89,3,5,0
38,37,108.23,1,5,0
50,45,131.73,0,3,0
34,51,90.29,1,4,0
29,54,118.03,1,5,0
53,8,139.56,1,5,0
20,41,126.03,2,4,0
18,49,135.21,1,3,0
39,35,82.88,0,5,0
29,51,96.37,2,2,0
24,11,97.07,1,1,1
42,24,108.94,2,1,1
37,49,174.34,2,1,1
29,21,105.83,1,3,0
22,51,74.26,1,5,0
43,2,141.67,0,1,1
41,40,173.87,2,1,1
34,19,69.55,1,4,0
53,39,198.91,4,5,0
24,28,136.61,1,5,0
19,59,161.36,3,4,0
28,17,178.68,1,5,0
34,6,158.9,2,2,1
37,19,115.58,2,3,1
32,56,168.71,4,4,0
38,38,130.18,1,1,1
22,28,163.62,0,5,0
49,2,168.0,3,2,1
34,38,76.36,6,2,1
46,55,151.77,1,3,0
38,37,112.72,0,2,0
39,51,125.53,1,5,0
40,52,125.08,1,5,0
39,4,123.48,0,2,1
41,22,180.94,1,5,0
48,26,65.34,1,5,0
36,49,51.11,4,1,1
42,43,42.67,4,4,1
34,36,162.77,2,5,0
49,58,89.06,0,5,0
28,13,125.29,1,3,0
53,52,115.41,1,4,0
34,58,84.54,2,4,0
20,32,154.06,0,4,0
36,17,114.9,5,2,1
28,41,110.49,2,1,1
43,36,129.31,2,1,1
28,55,148.83,1,3,0
30,46,81.64,1,4,0
18,19,154.92,0,4,0
30,58,177.99,3,5,1
18,35,62.96,4,2,1
19,46,131.13,2,2,0
42,40,107.8,1,3,0
42,56,147.97,3,1,1
39,59,71.33,1,4,0
25,28,185.16,2,3,0
34,1,55.68,1,2,1
34,42,110.23,0,2,0
23,18,137.37,0,2,1
50,48,92.55,3,4,1
43,40,86.26,2,4,0
32,33,128.89,0,4,0
35,12,123.11,3,5,1
37,8,120.24,1,1,1
18,24,154.35,1,2,1
32,16,104.22,1,2,1
